

0324,'688055,龙腾光电,6.61,6.77,6.6,6.65,6.72,-0.11,-1.6369,2.4565,6960119,46299441.0,22033333774.0,1872833707.9,0
0323,'688055,龙腾光电,6.72,6.88,6.51,6.53,6.51,0.21,3.2258,5.6605,16037992,107925963.0,22400000448.0,1904000380.8,0
0322,'688055,龙腾光电,6.51,6.56,6.32,6.36,6.36,0.15,2.3585,2.6625,7543780,48867754.0,21700000434.0,1844500368.9,1
0319,'688055,龙腾光电,6.36,6.42,6.25,6.3,6.36,0.0,0.0,1.571,4451134,28274401.0,21200000424.0,1802000360.4,1
0318,'688055,龙腾光电,6.36,6.46,6.34,6.46,6.46,-0.1,-1.548,1.9076,5404850,34495347.0,21200000424.0,1802000360.4,0
0317,'688055,龙腾光电,6.46,6.47,6.29,6.37,6.31,0.15,2.3772,2.2636,6413667,41133577.0,21533333764.0,1830333699.4,0
0316,'688055,龙腾光电,6.31,6.35,6.27,6.29,6.26,0.05,0.7987,1.4737,4175370,26322891.0,21033333754.0,1787833690.9,1
0315,'688055,龙腾光电,6.26,6.4,6.22,6.4,6.39,-0.13,-2.0344,1.9727,5589458,35130403.0,20866667084.0,1773667021.4,1
0312,'688055,龙腾光电,6.39,6.59,6.36,6.44,6.46,-0.07,-1.0836,1.9018,5388471,34484481.0,21300000426.0,1810500362.1,0
0311,'688055,龙腾光电,6.46,6.53,6.26,6.33,6.31,0.15,2.3772,2.5397,7195941,46056363.0,21533333764.0,1830333699.4,0
0310,'688055,龙腾光电,6.31,6.48,6.28,6.45,6.35,-0.04,-0.6299,1.6275,4611386,29326182.0,21033333754.0,1787833690.9,1
0309,'688055,龙腾光电,6.35,6.77,6.3,6.7,6.71,-0.36,-5.3651,3.6347,10298240,66496543.0,21166667090.0,1799167026.5,0
0308,'688055,龙腾光电,6.71,6.93,6.71,6.86,6.79,-0.08,-1.1782,2.9037,8227170,56141240.0,22366667114.0,1901167046.9,0
0305,'688055,龙腾光电,6.79,6.84,6.67,6.7,6.72,0.07,1.0417,2.1365,6053453,41032898.0,22633333786.0,1923833718.1,0
0304,'688055,龙腾光电,6.72,6.99,6.68,6.87,6.84,-0.12,-1.7544,3.2955,9337277,63607058.0,22400000448.0,1904000380.8,1
0303,'688055,龙腾光电,6.84,6.86,6.71,6.78,6.81,0.03,0.4405,2.1352,6049687,41075214.0,22800000456.0,1938000387.6,0
0302,'688055,龙腾光电,6.81,7.0,6.75,7.0,6.95,-0.14,-2.0144,2.9718,8420172,57653230.0,22700000454.0,1929500385.9,1
0301,'688055,龙腾光电,6.95,6.99,6.75,6.75,6.79,0.16,2.3564,3.2609,9239324,63674324.0,23166667130.0,1969167060.5,0
0226,'688055,龙腾光电,6.79,6.94,6.66,6.75,6.8,-0.01,-0.1471,2.3441,6641501,45339591.0,22633333786.0,1923833718.1,1
0225,'688055,龙腾光电,6.8,7.05,6.76,7.01,6.99,-0.19,-2.7182,3.5819,10148589,69188979.0,22666667120.0,1926667052.0,0
0224,'688055,龙腾光电,6.99,7.15,6.68,6.73,6.69,0.3,4.4843,6.0879,17249028,119319559.0,23300000466.0,1980500396.1,0
0223,'688055,龙腾光电,6.69,6.94,6.65,6.69,6.74,-0.05,-0.7418,3.6579,10364151,70402002.0,22300000446.0,1895500379.1,1
0222,'688055,龙腾光电,6.74,6.95,6.58,6.74,6.64,0.1,1.506,5.5694,15780033,107419363.0,22466667116.0,1909667048.6,0
0219,'688055,龙腾光电,6.64,6.66,6.25,6.32,6.32,0.32,5.0633,5.1882,14699846,95850562.0,22133333776.0,1881333709.6,1
0218,'688055,龙腾光电,6.32,6.48,6.16,6.19,6.19,0.13,2.1002,4.6948,13301895,84129672.0,21066667088.0,1790667024.8,1

